Tweet,Timestamp
"'@TakingIt_Back:  @nytimes keep shining....the ppl will not let the media dim your light...we no longer believe them! #Trump2016' Thanks.",May 15
"'@tzard000: @realDonaldTrump @nytimes Everyone continues to pile onto Donald, but they can NEVER take away our votes!'  Thank you!",May 15
"Everyone is laughing at the @nytimes for the lame hit piece they did on me and women.I gave them many names of women I helped-refused to use",May 15
"'@DistlerJoyce: @realDonaldTrump @nytimes OHIO WOMEN FOR TRUMP pic.twitter.com/wpxojJnjbb'",May 15
"'@MrTohNey: Leicester & DonaldTrump seem to have the same trajectory, both were written off, but they keep scaling the heights. History?",May 15
"'@QueenCharlotteO: @realDonaldTrump @nytimes I'm a women & I 100% support @realDonaldTrump & I have since the beginning. Thank you!",May 15
"The failing @nytimes wrote yet another hit piece on me. All are impressed with how nicely I have treated women, they found nothing. A joke!",May 15
"Thank you for the nice words this morning @KellyRiddell. Well delivered and totally logical! @CNN   @FoxNews",May 15
"'@stranahan: Sheldon Adelson Pledges $100 Million to Elect Trump President - Breitbart breitbart.com/2016-president…'",May 14
"Wow, @CNN is really working hard to make me look as bad  as possible. Very unprofessional. Hurting in ratings - bad television!",May 14
"Great new poll- thank you! pic.twitter.com/ytzesbCZas",May 14
"If Crooked Hillary Clinton can't close the deal on Crazy Bernie, how is she going to take on China, Russia, ISIS and all of the others?",May 13
"An incredible honor to receive the endorsement of a person I have such tremendous respect for. Thank you, Sheldon! washingtonpost.com/opinions/sheld…",May 13
".@thehill  Your story about me & the carbon tax is absolutely incorrect—it is just the opposite. I will not support or endorse a carbon tax!",May 13
"Senator Lindsey Graham called me yesterday, very much to my surprise, and we had a very interesting talk about national security, and more!",May 12
"Great meeting with @SenateMajLdr Mitch McConnell and Republican leaders in D.C. #Trump2016 pic.twitter.com/R0NuOrZISX",May 12
"Great day in D.C. with @SpeakerRyan and Republican leadership. Things working out really well! #Trump2016 pic.twitter.com/hfHY9MdAc7",May 12
"If it were up to goofy Elizabeth Warren, we’d have no jobs in America—she doesn’t have a clue.",May 11
"In interview I told @AP that my taxes are under routine audit and I would release my tax returns when audit is complete, not after election!",May 11
"Isn’t it funny when a failed Senator like goofy Elizabeth Warren can spend a whole day tweeting about Trump & gets nothing done in Senate?",May 11
"Goofy Elizabeth Warren lied when she says I want to abolish the Federal Minimum Wage. See media—asking for increase!",May 11
"Our Native American Senator, goofy Elizabeth Warren, couldn’t care less about the American worker…does nothing to help!",May 11
"Goofy Elizabeth Warren is now using the woman’s card like her friend crooked Hillary. See her dumb tweet “when a woman stands up to you…”",May 11
"If the people of Massachusetts found out what an ineffective Senator goofy Elizabeth Warren has been, she would lose!",May 11
"Thanks Piers. twitter.com/piersmorgan/st…",May 11
"#MakeAmericaGreatAgain #Trump2016 pic.twitter.com/CLhqgybbYR",May 11
"'Duck Dynasty' star Phil Robertson says he'll back Trump for president dailym.ai/1TPwjNs via @MailOnline",May 10
"Goofy Elizabeth Warren didn’t have the guts to run for POTUS. Her phony Native American heritage stops that and VP cold.",May 11
"Goofy Elizabeth Warren has been one of the least effective Senators in the entire U.S. Senate. She has done nothing!",May 11
"I don't want to hit Crazy Bernie Sanders too hard yet because I love watching what he is doing to Crooked Hillary. His time will come!",May 11
"Big wins in West Virginia and Nebraska. Get ready for November - Crooked Hillary, who is looking very bad against Crazy Bernie, will lose!",May 11
"Thank you Nebraska! #MakeAmericaGreatAgain #Trump2016 pic.twitter.com/RRma61oisz",May 10
"Thank you West Virginia! #MakeAmericaGreatAgain #Trump2016 pic.twitter.com/iCGcF21fWY",May 10
"LOUISIANA GENERAL ELECTION Donald Trump vs. Hillary Clinton #MakeAmericaGreatAgain #Trump2016 pic.twitter.com/74vYOx7dKz",May 10
"OHIO GENERAL ELECTION Donald Trump vs. Hillary Clinton #MakeAmericaGreatAgain #Trump2016 pic.twitter.com/0yXQ4SFSLO",May 10
"The Clintons spend millions on negative ads on me & I can’t tell the truth about her husband? Don’t feel sorry for crooked Hillary!",May 10
"Hillary has bad judgment! instagram.com/p/BFPCtFfmhWB/",May 10
"It was so great being in Nebraska last week. Today is the big day--get out and vote!",May 10
"I look very much forward to meeting w/Paul Ryan & the GOP Party Leadership on Thurs in DC. Together, we will beat the Dems at all levels!",May 10
"Via @JTAnews and Jason Greenblatt  'Donald Trump is a Visionary With Talents Our Country Needs' @JasonDovEsq   jta.org/2016/04/18/new…",May 10
"WEST VIRGINIA #VoteTrump TODAY! #MakeAmericaGreatAgain #Trump2016 pic.twitter.com/pndaZjsruy",May 10
"NEBRASKA #VoteTrump TODAY! #MakeAmericaGreatAgain #Trump2016 amp.twimg.com/v/ad8daeae-d04…",May 10
"It is only the people that were never asked to be VP that tell the press that they will not take the position.",May 10
"It was Rosie O'Donnell who ate the cake in the vicious Hillary commercial about me, not Crooked Hillary! @marthamaccallum",May 10
"Why does the media, with a strong push from Crooked Hillary, keep pushing the false narrative that I want to raise taxes. Exactly opposite!",May 10
". #RepMikeKelly  Great job on @foxandfriends this morning. Thank you for the nice words!",May 10
"Get out and vote Nebraska, we will MAKE AMERICA GREAT AGAIN!",May 10
"Get out and vote West Virginia, we will MAKE AMERICA GREAT AGAIN!",May 10
"'@RedRising11: 🇺🇸I am a woman & I JUST VOTED FOR @realDonaldTrump #NebraskaPrimary #Trump2016 #TrumpForPresident pic.twitter.com/zgzwxQ92wZ'",May 9
"Thank you Jason Greenblatt @JasonDovEsq 'For Our Children: Let's Elect Donald Trump'  medium.com/@jgreenblatt/f…",May 9
